Year,Macro Stat,User-friendly Stat Name,Code-friendly Stat Name,Code-friendly Stat Name - Year,URL
2018,Approach the Green,Greens in Regulation Percentage,GIR_pct,GIR_pct_2018,https://www.pgatour.com/content/pgatour/stats/stat.103.y2018.html
2018,Approach the Green,Greens or Fringe in Regulation Percentage,GOFIR_pct,GOFIR_pct_2018,https://www.pgatour.com/content/pgatour/stats/stat.02437.y2018.html
2018,Approach the Green,Greens in Regulation Percentage from Fairway,GIR_pct_fwy,GIR_pct_fwy_2018,https://www.pgatour.com/content/pgatour/stats/stat.190.y2018.html
2018,Approach the Green,Greens in Regulation Other than Fairway,GIR_pct_not_fwy,GIR_pct_not_fwy_2018,https://www.pgatour.com/content/pgatour/stats/stat.199.y2018.html
2018,Approach the Green,Accuracy from Fairway - Proximity,fwy_prox,fwy_prox_2018,https://www.pgatour.com/content/pgatour/stats/stat.431.y2018.html
2018,Approach the Green,Accuracy from Rough - Proximity,rough_prox,rough_prox_2018,https://www.pgatour.com/content/pgatour/stats/stat.437.y2018.html
2018,Around the Green,Strokes Gained - Around the Green,SG_ATG,SG_ATG_2018,https://www.pgatour.com/content/pgatour/stats/stat.02569.y2018.html
2018,Around the Green,Sand Save Percentage,pct_sand_save,pct_sand_save_2018,https://www.pgatour.com/content/pgatour/stats/stat.111.y2018.html
2018,Around the Green,Scrambling,scrambling,scrambling_2018,https://www.pgatour.com/content/pgatour/stats/stat.130.y2018.html
2018,Putting,Strokes Gained - Putting,SG_putt,SG_putt_2018,https://www.pgatour.com/content/pgatour/stats/stat.02564.y2018.html
2018,Putting,Total Putting,total_put,total_put_2018,https://www.pgatour.com/content/pgatour/stats/stat.02428.y2018.html
2018,Putting,One-putt Percentage,pct_one_putt,pct_one_putt_2018,https://www.pgatour.com/content/pgatour/stats/stat.413.y2018.html
2018,Putting,Three-putt Avoidance,pct_three_putt_avoid,pct_three_putt_avoid_2018,https://www.pgatour.com/content/pgatour/stats/stat.426.y2018.html
2018,Putting,Putting Average,putt_avg,putt_avg_2018,https://www.pgatour.com/content/pgatour/stats/stat.104.y2018.html
2018,Putting,Putts per round,putts_per_rd,putts_per_rd_2018,https://www.pgatour.com/content/pgatour/stats/stat.119.y2018.html
2018,Scoring,Strokes Gained - Total,SG_total,SG_total_2018,https://www.pgatour.com/content/pgatour/stats/stat.02675.y2018.html
2018,Scoring,Scoring Average,scoring_avg,scoring_avg_2018,https://www.pgatour.com/content/pgatour/stats/stat.120.y2018.html
2018,Scoring,Bogey Avoidance,bogey_avoid,bogey_avoid_2018,https://www.pgatour.com/content/pgatour/stats/stat.02414.y2018.html
2018,Scoring,Birdie-to-Bogey Ratio,btb_ratio,btb_ratio_2018,https://www.pgatour.com/content/pgatour/stats/stat.02415.y2018.html
2018,Scoring,Par 3 Performance,p3_perf,p3_perf_2018,https://www.pgatour.com/content/pgatour/stats/stat.171.y2018.html
2018,Scoring,Par 4 Performance,p4_perf,p4_perf_2018,https://www.pgatour.com/content/pgatour/stats/stat.172.y2018.html
2018,Scoring,Par 5 Performance,p5_perf,p5_perf_2018,https://www.pgatour.com/content/pgatour/stats/stat.173.y2018.html
2018,MONEY (TARGET),OFFICIAL MONEY,money,money_2018,https://www.pgatour.com/content/pgatour/stats/stat.109.y2018.html
2017,Off the Tee,Strokes Gained - Off the Tee,SG_off_tee,SG_off_tee_2017,https://www.pgatour.com/content/pgatour/stats/stat.02567.y2017.html
2017,Off the Tee,Strokes Gained - Tee-to-green,SG_tee_green,SG_tee_green_2017,https://www.pgatour.com/content/pgatour/stats/stat.02674.y2017.html
2017,Off the Tee,Driving Distance,driving_dist,driving_dist_2017,https://www.pgatour.com/content/pgatour/stats/stat.101.y2017.html
2017,Off the Tee,% of Yardage Covered by Tee Shots,pct_ydg_tee,pct_ydg_tee_2017,https://www.pgatour.com/content/pgatour/stats/stat.02341.y2017.html
2017,Off the Tee,% of Yardage Covered by Tee Shots - Par 5,pct_ydg_tee_P5,pct_ydg_tee_P5_2017,https://www.pgatour.com/content/pgatour/stats/stat.02343.y2017.html
2017,Off the Tee,% of Yardage Covered by Tee Shots - Par 4,pct_ydg_tee_P4,pct_ydg_tee_P4_2017,https://www.pgatour.com/content/pgatour/stats/stat.02342.y2017.html
2017,Off the Tee,Driving Percentage 320+,driving_320+,driving_320+_2017,https://www.pgatour.com/content/pgatour/stats/stat.496.y2017.html
2017,Approach the Green,Strokes Gained - Approach the Green,SG_approach_green,SG_approach_green_2017,https://www.pgatour.com/content/pgatour/stats/stat.02568.y2017.html
2017,Approach the Green,Greens in Regulation Percentage,GIR_pct,GIR_pct_2017,https://www.pgatour.com/content/pgatour/stats/stat.103.y2017.html
2017,Approach the Green,Greens or Fringe in Regulation Percentage,GOFIR_pct,GOFIR_pct_2017,https://www.pgatour.com/content/pgatour/stats/stat.02437.y2017.html
2017,Approach the Green,Greens in Regulation Percentage from Fairway,GIR_pct_fwy,GIR_pct_fwy_2017,https://www.pgatour.com/content/pgatour/stats/stat.190.y2017.html
2017,Approach the Green,Greens in Regulation Other than Fairway,GIR_pct_not_fwy,GIR_pct_not_fwy_2017,https://www.pgatour.com/content/pgatour/stats/stat.199.y2017.html
2017,Approach the Green,Accuracy from Fairway - Proximity,fwy_prox,fwy_prox_2017,https://www.pgatour.com/content/pgatour/stats/stat.431.y2017.html
2017,Approach the Green,Accuracy from Rough - Proximity,rough_prox,rough_prox_2017,https://www.pgatour.com/content/pgatour/stats/stat.437.y2017.html
